listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
41759384,01/11/2025,30,0,0,0,54,,,,2,,6977,0
14535080,01/01/2026,31,0,0,0,9.7,,,,28,,1253,0
41759384,01/07/2026,31,0,0,0,53.5,,,,,,6912,0
14535080,01/12/2025,31,0,0,0,9.7,,,,28,,1253,0
14535080,01/08/2026,31,0,0,0,10.3,,,,28,,1331,0
41759384,01/03/2026,31,0,0,0,52.7,,,,2,,6809,0
41759384,01/06/2026,30,0,0,0,52.9,,,,,,6835,0
41759384,01/04/2026,30,0,0,0,52.2,,,,2,,6744,0
41759384,01/08/2026,31,0,0,0,53.4,,,,,,6899,0
41759384,01/02/2026,28,0,0,0,54.4,,,,2,,7029,0
41759384,01/01/2026,31,0,0,0,53.1,,,,2,,6861,0
41759384,01/09/2025,30,0,0,0,54.6,,,,2,,7055,0
14535080,01/04/2026,30,0,0,0,9.7,,,,28,,1253,0
14535080,01/07/2026,31,0,0,0,10.4,,,,28,,1344,0
14535080,01/06/2026,30,0,0,0,9.8,,,,28,,1266,0
41759384,01/05/2026,31,0,0,0,53.2,,,,,,6874,0
14535080,01/03/2026,31,0,0,0,9.6,,,,28,,1240,0
14535080,01/05/2026,31,0,0,0,9.8,,,,28,,1266,0
14535080,01/11/2025,29,1,0.033,10,9.7,10,,,28,1292,1253,1292
14535080,01/10/2025,0,31,1,306,9.9,9.9,,,28,1279,1279,39536
41759384,01/12/2025,31,0,0,0,52.4,,,,2,,6770,0
14535080,01/02/2026,28,0,0,0,9.6,,,,28,,1240,0
14535080,01/09/2025,0,30,1,313,10.4,10.4,62,62,28,1344,1344,40441
41759384,01/10/2025,31,0,0,0,52.5,,,,2,,6783,0
1023556,01/05/2026,31,0,0,0,21.5,,,,1,,2778,0
1023556,01/08/2026,31,0,0,0,23.8,,,,1,,3075,0
40501095,01/04/2026,30,0,0,0,43,,,,1,,5556,0
1023556,01/03/2026,31,0,0,0,22.6,,,,1,,2920,0
40501095,01/05/2026,31,0,0,0,43.8,,,,1,,5659,0
1023556,01/06/2026,30,0,0,0,22.3,,,,1,,2881,0
40501095,01/02/2026,28,0,0,0,42.2,,,,1,,5452,0
40501095,01/08/2026,31,0,0,0,45.6,,,,1,,5892,0
1023556,01/07/2026,31,0,0,0,23.5,,,,1,,3036,0
1023556,01/04/2026,30,0,0,0,23.1,,,,1,,2985,0
1023556,01/01/2026,31,0,0,0,23.2,,,,1,,2998,0
1023556,01/02/2026,28,0,0,0,22.3,,,,1,,2881,0
40501095,01/09/2025,15,15,0.5,662,44.1,44.1,25,15,1,5698,5698,85533
40501095,01/12/2025,31,0,0,0,42.5,,,,1,,5491,0
40501095,01/11/2025,30,0,0,0,41.8,,,,1,,5401,0
1023556,01/12/2025,31,0,0,0,23.5,,,,1,,3036,0
1023556,01/11/2025,30,0,0,0,23.5,,,,1,,3036,0
40501095,01/07/2026,31,0,0,0,45.6,,,,1,,5892,0
1023556,01/10/2025,31,0,0,0,22.3,,,,1,,2881,0
40501095,01/01/2026,31,0,0,0,42.5,,,,1,,5491,0
1023556,01/09/2025,30,0,0,0,22.5,,,,1,,2907,0
40501095,01/03/2026,31,0,0,0,42.5,,,,1,,5491,0
40501095,01/06/2026,30,0,0,0,44.6,,,,1,,5762,0
40501095,01/10/2025,31,0,0,0,44.1,,,,1,,5698,0
33034007,01/06/2026,30,0,0,0,47.7,,,,1,,6163,0
33034007,01/05/2026,31,0,0,0,48.4,,,,1,,6253,0
33034007,01/03/2026,31,0,0,0,46.5,,,,1,,6008,0
33034007,01/10/2025,31,0,0,0,48.8,,,,1,,6305,0
33034007,01/09/2025,30,0,0,0,48.9,,,,1,,6318,0
33034007,01/02/2026,28,0,0,0,46.5,,,,1,,6008,0
33034007,01/07/2026,31,0,0,0,48.3,,,,1,,6241,0
33034007,01/08/2026,31,0,0,0,48.4,,,,,,6253,0
33034007,01/01/2026,31,0,0,0,48.3,,,,1,,6241,0
33034007,01/04/2026,30,0,0,0,47.9,,,,1,,6189,0
33034007,01/12/2025,31,0,0,0,48,,,,1,,6202,0
33034007,01/11/2025,30,0,0,0,48.4,,,,1,,6253,0
34251626,01/12/2025,31,0,0,0,97.7,,,,3,,12623,0
40535840,01/02/2026,28,0,0,0,14.8,,,,1,,1912,0
24659286,01/08/2026,31,0,0,0,48.6,,,,1,,6279,0
24659286,01/03/2026,31,0,0,0,46.9,,,,1,,6060,0
41372291,01/05/2026,31,0,0,0,53.8,,,,2,,6951,0
14938797,01/08/2026,31,0,0,0,41.7,,,,,,5388,0
40535840,01/04/2026,30,0,0,0,14.9,,,,1,,1925,0
24659286,01/01/2026,31,0,0,0,47.3,,,,1,,6111,0
34251626,01/06/2026,30,0,0,0,97.5,,,,3,,12597,0
41372291,01/08/2026,31,0,0,0,56.6,,,,2,,7313,0
41372291,01/11/2025,0,30,1,1751,58.4,58.4,,,2,7545,7545,226235
24659286,01/06/2026,30,0,0,0,48.3,,,,1,,6241,0
41372291,01/01/2026,0,31,1,1758,56.7,56.7,,,2,7326,7326,227140
40535840,01/05/2026,31,0,0,0,14.5,,,,1,,1873,0
41372291,01/02/2026,0,28,1,1678,59.9,59.9,,,2,7739,7739,216804
24659286,01/09/2025,30,0,0,0,47.6,,,,1,,6150,0
40535840,01/08/2026,31,0,0,0,14.5,,,,1,,1873,0
41372291,01/06/2026,30,0,0,0,48.4,,,,2,,6253,0
40535840,01/07/2026,31,0,0,0,14.4,,,,1,,1861,0
24659286,01/02/2026,28,0,0,0,46.9,,,,1,,6060,0
14938797,01/06/2026,30,0,0,0,41.8,,,,,,5401,0
34251626,01/10/2025,31,0,0,0,98.4,,,,3,,12714,0
24659286,01/07/2026,31,0,0,0,49,,,,1,,6331,0
34251626,01/08/2026,31,0,0,0,99.1,,,,3,,12804,0
