listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
21520917,01/12/2024,22,9,0.29,345,37.6,38.3,5,9,,4960,4869,44680
39875956,01/08/2025,31,0,0,0,69.1,,,,1,,8928,0
36253079,01/04/2025,30,0,0,0,33.7,,,,1,,4364,0
40675899,01/09/2024,24,6,0.2,243,40.2,40.5,1,9,,5232,5193,31391
21520917,01/01/2025,31,0,0,0,37.2,,,,1,,4805,0
36253079,01/06/2025,30,0,0,0,34.1,,,,1,,4406,0
21520917,01/10/2024,13,18,0.581,679,38.3,37.7,110,27,,4863,4941,87591
40675899,01/10/2024,28,3,0.097,120,40.4,40,,,,5160,5212,15480
36253079,01/11/2024,30,0,0,0,32.3,,,,,,4167,0
36253079,01/01/2025,16,15,0.484,487,32.4,32.5,,,1,4198,4185,62906
21520917,01/08/2025,25,6,0.194,237,39.7,39.5,2,6,1,5104,5129,30621
36253079,01/02/2025,28,0,0,0,31.9,,,,1,,4120,0
21520917,01/04/2025,30,0,0,0,38.7,,,,1,,5012,0
40675899,01/07/2025,31,0,0,0,66.4,,,,2,,8579,0
39875956,01/06/2025,18,12,0.4,835,68,69.6,17,15,1,8993,8786,107885
21520917,01/03/2025,26,5,0.161,191,37.9,38.2,42,5,1,4909,4870,24544
36253079,01/08/2025,31,0,0,0,33.9,,,,1,,4380,0
39875956,01/11/2024,30,0,0,0,61.4,,,,,,7921,0
36253079,01/05/2025,29,2,0.065,73,34.7,36.5,2,2,1,4739,4505,9478
39875956,01/04/2025,30,0,0,0,66.8,,,,1,,8651,0
21520917,01/07/2025,31,0,0,0,39.8,,,,1,,5142,0
40675899,01/01/2025,29,2,0.065,83,41.3,41.5,,,2,5361,5335,10721
40675899,01/04/2025,30,0,0,0,59.8,,,,2,,7744,0
39875956,01/12/2024,3,28,0.903,1680,60.1,60,49,14,1,7770,7783,217571
39875956,01/01/2025,30,1,0.032,56,55.7,56,,,1,7234,7195,7234
36253079,01/07/2025,31,0,0,0,34.1,,,,1,,4406,0
40675899,01/05/2025,31,0,0,0,61.5,,,,2,,7985,0
36253079,01/09/2024,30,0,0,0,32.8,,,,,,4237,0
40675899,01/08/2025,31,0,0,0,62.1,,,,2,,8024,0
21520917,01/06/2025,30,0,0,0,40.1,,,,1,,5181,0
21520917,01/11/2024,20,10,0.333,377,37.5,37.7,,,,4863,4838,48633
40675899,01/06/2025,30,0,0,0,63.6,,,,2,,8217,0
40675899,01/11/2024,30,0,0,0,40.7,,,,,,5250,0
21520917,01/05/2025,31,0,0,0,39.5,,,,1,,5129,0
39875956,01/10/2024,31,0,0,0,61.5,,,,,,7934,0
40675899,01/03/2025,31,0,0,0,49.6,,,,2,,6374,0
39875956,01/05/2025,31,0,0,0,66.7,,,,1,,8660,0
36253079,01/03/2025,31,0,0,0,31.7,,,,1,,4074,0
36253079,01/12/2024,18,13,0.419,430,32.5,33.1,1,28,,4287,4209,55688
21520917,01/02/2025,28,0,0,0,38,,,,1,,4908,0
36253079,01/10/2024,31,0,0,0,33,,,,,,4257,0
39875956,01/09/2024,30,0,0,0,60.1,,,,,,7764,0
21520917,01/09/2024,30,0,0,0,37.8,,,,,,4883,0
39875956,01/02/2025,28,0,0,0,56.5,,,,1,,7298,0
40675899,01/12/2024,22,9,0.29,374,40.8,41.6,5,11,,5387,5284,48435
39875956,01/03/2025,31,0,0,0,63.1,,,,1,,8109,0
