listing_id,date,num_reviews,reviewers
16701882,01/04/2025,1,341960500
37808882,01/05/2025,1,424270789
13381106,01/10/2024,3,"599,525,817,244,406,000,000,000"
37808882,01/07/2025,1,381061119
471581,01/06/2025,1,138579311
13381106,01/08/2025,3,"26,897,960,782,355,400,000,000"
13381106,01/01/2025,8,"40,567,166,286,314,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
35850895,01/02/2025,1,367246627
13381106,01/06/2025,3,"4,350,031,682,288,130,000,000,000"
16701882,01/02/2025,1,375297007
13381106,01/12/2024,5,"648,307,272,344,249,000,000,000,000,000,000,000,000"
471581,01/02/2025,1,88137705
16701882,01/12/2024,1,8503063
13381106,01/09/2024,7,"713,724,922,311,478,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
37808882,01/11/2024,2,"4,454,461,356,767,710"
16701882,01/05/2025,1,536201820
13381106,01/03/2025,5,"43,124,499,891,630,000,000,000,000,000,000,000,000,000"
13381106,01/11/2024,4,"8,532,147,365,623,380,000,000,000,000,000,000"
35850895,01/03/2025,1,229689175
37808882,01/01/2025,1,547720420
37808882,01/06/2025,1,182459498
13381106,01/05/2025,4,"3,696,705,544,628,600,000,000,000,000,000,000"
37808882,01/02/2025,4,"44,502,870,196,768,700,000,000,000,000,000,000"
13381106,01/07/2025,4,"462,537,214,115,922,000,000,000,000,000,000,000"
37808882,01/12/2024,4,"3,774,673,383,774,670,000,000,000,000,000,000"
16701882,01/01/2025,1,155115418
13381106,01/04/2025,6,"990,313,210,894,951,000,000,000,000,000,000,000,000,000,000,000"
471581,01/01/2025,1,116802341
26848700,01/03/2025,1,423509914
13381106,01/02/2025,9,"100,185,380,862,174,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
40918469,01/08/2025,1,701565243
40203235,01/11/2024,2,"177,906,170,412,838,000"
30895380,01/09/2024,2,"134,785,443,274,806,000"
21003330,01/11/2024,1,161100448
40203235,01/05/2025,1,177906170
40203235,01/10/2024,1,38661055
14953096,01/09/2024,1,651805181
3896787,01/11/2024,1,524622542
40918469,01/05/2025,1,52664860
3896787,01/06/2025,1,216057622
13392603,01/11/2024,1,33578307
30895380,01/11/2024,1,104220019
40203235,01/03/2025,2,"67,779,666,926,135,300"
25470498,01/01/2025,1,5145456
21003330,01/05/2025,1,150600048
40203235,01/06/2025,2,"3,311,255,333,112,550"
30895380,01/01/2025,1,104220019
40203235,01/02/2025,2,"34,083,264,597,814,300"
3896787,01/05/2025,1,217644673
15784404,01/11/2024,1,523866087
40918469,01/11/2024,1,441433425
40918469,01/03/2025,1,2325559
40203235,01/07/2025,1,1439663
17485730,01/07/2025,1,482666431
40203235,01/01/2025,1,184448777
40203235,01/04/2025,1,177906170
30895380,01/12/2024,1,104220019
20891313,01/09/2024,3,"9,772,632,036,441,040,000,000,000"
20735902,01/09/2024,1,435784258
20735902,01/11/2024,1,270769343
20735902,01/04/2025,1,119685795
20891313,01/10/2024,3,"172,927,422,762,463,000,000,000"
40697310,01/11/2024,1,442769582
40697310,01/12/2024,1,665482195
12794450,01/07/2025,1,1306712
20735902,01/06/2025,1,77547005
12794450,01/03/2025,1,10573140
25693691,01/02/2025,1,98542174
20891313,01/11/2024,3,"4,267,985,511,536,390,000,000,000"
25693691,01/12/2024,1,549941220
20735902,01/01/2025,2,"727,724,364,660,610"
12794450,01/02/2025,1,91862852
20735902,01/10/2024,1,177616133
20891313,01/07/2025,2,"649,438,818,609,704"
25693691,01/03/2025,1,212255862
12794450,01/01/2025,2,"4,467,544,467,055,670"
20735902,01/05/2025,1,254107544
20891313,01/06/2025,4,"147,518,702,561,136,000,000,000,000,000,000"
25693691,01/01/2025,2,"667,265,091,261,977,000"
20891313,01/04/2025,1,93765049
20891313,01/12/2024,2,"49,183,107,218,028,800"
20891313,01/05/2025,1,148507538
20891313,01/03/2025,3,"4,463,515,042,039,670,000,000,000"
40697310,01/03/2025,1,685704795
22973277,01/09/2024,1,371934319
6568691,01/09/2024,1,308303790
6568691,01/08/2025,1,677194481
32785219,01/07/2025,1,17369048
33025817,01/10/2024,2,"342,381,939,470,894,000"
32785219,01/02/2025,2,"332,720,986,190,300,000"
32785219,01/10/2024,3,"575,374,399,131,310,000,000,000,000"
6568691,01/11/2024,1,451986353
40810548,01/02/2025,1,207689340
26600975,01/09/2024,1,529629754
6568691,01/03/2025,3,"79,626,217,497,731,400,000,000,000"
32785219,01/04/2025,1,188341833
6568691,01/12/2024,1,122423555
32785219,01/12/2024,3,"124,750,605,142,535,000,000,000"
32785219,01/11/2024,2,"32,454,389,487,393,300"
32785219,01/06/2025,2,"10,755,796,694,874,500"
6568691,01/01/2025,1,277154178
26600975,01/06/2025,2,"578,202,480,240,915,000"
6568691,01/07/2025,2,"1,252,244,638,343,290"
35298141,01/07/2025,1,51647414
22973277,01/04/2025,1,440847009
40810548,01/12/2024,1,666482105
22973277,01/12/2024,1,303054710
6568691,01/02/2025,1,678837613
32785219,01/03/2025,1,264759084
6568691,01/06/2025,3,"45,892,531,134,520,300,000,000,000"
32785219,01/09/2024,3,"38,093,105,914,988,300,000,000,000"
6568691,01/10/2024,2,"190,444,421,361,999,000"
32785219,01/01/2025,2,"57,953,398,263,751,400"
32785219,01/05/2025,1,24020329
22973277,01/07/2025,1,4176584
25351694,01/12/2024,2,"830,023,544,660,610"
20040341,01/07/2025,1,171216464
40501095,01/11/2024,1,523308279
38698555,01/10/2024,1,256555587
1023556,01/06/2025,2,"22,470,499,368,193,200"
38698555,01/06/2025,2,"197,034,624,417,196,000"
25351694,01/05/2025,3,"3,378,909,374,956,800,000,000,000"
40501095,01/10/2024,1,295975128
20040341,01/05/2025,1,477138481
25351694,01/03/2025,1,303411544
25351694,01/04/2025,1,52407255
40501095,01/01/2025,1,33362753
25351694,01/06/2025,1,119685795
20040341,01/09/2024,4,"12,927,017,160,599,900,000,000,000,000,000,000"
24706725,01/12/2024,3,"57,677,107,231,526,700,000,000,000"
38698555,01/05/2025,2,"2,565,555,874,729,270"
25351694,01/07/2025,3,"702,258,524,692,955,000,000,000,000"
20040341,01/12/2024,1,140492767
38698555,01/12/2024,1,463654428
20040341,01/04/2025,1,119912794
38698555,01/07/2025,1,85879049
40501095,01/02/2025,1,655625453
25351694,01/01/2025,1,4660610
25351694,01/10/2024,3,"4,660,610,466,061,020,000,000"
38698555,01/11/2024,1,310142894
20040341,01/02/2025,1,31740625
24706725,01/06/2025,2,"2,111,087,422,156,110"
20040341,01/06/2025,1,349546928
24706725,01/02/2025,1,54646104
38698555,01/01/2025,3,"555,438,515,671,229,000,000,000,000"
38698555,01/04/2025,1,493844552
20040341,01/01/2025,1,532556288
24706725,01/07/2025,2,"592,947,619,229,157,000"
20040341,01/03/2025,2,"14,125,855,133,269,900"
38698555,01/08/2025,1,317021137
1023556,01/04/2025,1,235625239
31922701,01/04/2025,3,"5,179,282,483,415,580,000,000,000"
41372291,01/11/2024,1,474926072
34251626,01/09/2024,1,44334035
31922701,01/07/2025,2,"508,932,213,106,355,000"
41372291,01/12/2024,2,"134,353,416,196,082,000"
35335812,01/03/2025,1,681896561
31922701,01/08/2025,1,66662562
40535840,01/03/2025,2,"682,067,580,682,952,000"
31922701,01/09/2024,4,"1,125,243,573,549,680,000,000,000,000,000"
23577364,01/09/2024,3,"164,229,586,525,641,000,000,000,000"
14938797,01/10/2024,3,"48,626,486,995,040,700,000,000,000"
40535840,01/02/2025,3,"421,223,373,662,688,000,000,000,000"
37613831,01/05/2025,1,9866165
40535840,01/06/2025,2,"698,430,081,408,167,000"
14938797,01/01/2025,5,"3,825,062,572,179,580,000,000,000,000,000,000,000,000,000"
41372291,01/03/2025,3,"177,906,170,164,077,000,000,000,000"
41372291,01/07/2025,3,"177,906,170,419,471,000,000,000,000"
31922701,01/12/2024,5,"13,409,081,268,061,300,000,000,000,000,000,000,000,000"
41372291,01/02/2025,3,"5,462,080,750,425,250,000,000,000"
23577364,01/02/2025,1,669671022
31922701,01/05/2025,6,"658,056,881,836,019,000,000,000,000,000,000,000,000,000,000,000,000"
31922701,01/10/2024,2,"7,731,639,976,496,990"
14938797,01/12/2024,4,"22,393,459,170,337,900,000,000,000,000,000,000"
41372291,01/05/2025,3,"46,196,385,131,142,300,000,000,000"
34251626,01/01/2025,1,15196251
14938797,01/11/2024,12,"650,939,481,585,070,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
24659286,01/05/2025,1,345286720
40535840,01/09/2024,1,278914938
40535840,01/05/2025,4,"55,566,847,536,201,800,000,000,000,000,000,000"
40200705,01/12/2024,1,509370506
40535840,01/01/2025,5,"36,137,977,232,351,600,000,000,000,000,000,000,000,000,000"
31922701,01/06/2025,2,"53,756,074,214,130,800"
23577364,01/03/2025,2,"493,141,880,327,310,000"
31922701,01/03/2025,4,"5,378,765,735,496,840,000,000,000,000,000"
41372291,01/06/2025,2,"17,572,488,746,196,300"
23577364,01/07/2025,1,51484942
23577364,01/05/2025,2,"143,677,376,450,239,000"
31922701,01/01/2025,2,"3,903,331,738,297,180"
37613831,01/12/2024,1,461186034
37613831,01/09/2024,1,521767520
35335812,01/09/2024,1,432353145
40535840,01/10/2024,1,191919605
37613831,01/06/2025,1,133958494
31922701,01/02/2025,1,202954359
41372291,01/01/2025,1,177906170
24659286,01/12/2024,1,667403878
23577364,01/10/2024,1,409608578
14938797,01/09/2024,4,"44,747,461,644,747,400,000,000,000,000,000,000"
31922701,01/11/2024,3,"7,784,812,767,693,490,000,000,000"
40535840,01/12/2024,1,498991209
35335812,01/02/2025,1,96953743
41372291,01/04/2025,2,"23,181,478,534,989,800"
17350714,01/01/2025,1,483640060
41520513,01/10/2024,1,153562685
22872353,01/07/2025,1,250829067
33026502,01/07/2025,2,"491,059,193,137,364,000"
41520513,01/04/2025,2,"74,943,786,661,174,200"
41520513,01/11/2024,1,656105574
10912864,01/04/2025,2,"7,307,128,726,409,320"
22872353,01/04/2025,2,"161,813,102,403,317,000"
22872353,01/12/2024,1,187208344
33026502,01/06/2025,2,"491,825,627,491,825,000"
22872353,01/11/2024,2,"17,387,470,588,918,100"
41520513,01/01/2025,4,"1,918,266,044,200,440,000,000,000,000,000,000"
41520513,01/02/2025,2,"283,769,727,443,211,000"
22872353,01/09/2024,1,489591271
10912864,01/10/2024,1,539001502
10912864,01/01/2025,1,2318626
41520513,01/09/2024,1,67296987
33026502,01/10/2024,3,"475,384,652,172,628,000,000,000,000"
37855786,01/11/2024,1,433603224
